EmployeeNumber,EmployeeName,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HireDate,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Y_N
5588,"John Garcia",35,No,"Travel Rarely",1377,"Research and Development",7,3,"Human Resources",1,3,Male,2010-01-12,43,2,4,"Manufacturing Director",4,Married,12383,18647,4,NULL,No,15,3,3,80,1,14,0,3,14,11,12,4,0
417,"James Lee",48,No,"Travel Rarely",1345,"Research and Development",4,3,Medical,1,3,Male,1998-06-14,42,3,4,"Research Scientist",4,Single,11978,17412,3,NULL,No,11,3,3,80,1,29,3,3,26,9,5,8,0
5838,"Robert Brown",34,No,"Travel Rarely",1483,"Research and Development",16,2,Other,1,1,Male,2021-05-10,97,3,4,"Laboratory Technician",4,Single,18417,7617,1,NULL,No,16,4,2,80,0,15,2,3,3,0,1,3,0
6882,"Linda Flores",29,No,"Travel Frequently",569,"Research and Development",3,3,Medical,1,2,Female,2017-07-04,57,2,2,"Manufacturing Director",2,Married,6735,5881,3,NULL,No,23,3,2,80,1,8,6,4,7,5,6,1,0
7250,"Lisa Thompson",40,Yes,"Travel Rarely",1102,"Research and Development",-7,2,Medical,1,2,Female,2022-10-03,48,4,3,"Research Scientist",4,Divorced,7329,21674,1,NULL,No,13,4,1,80,1,18,2,1,2,2,0,0,1
8550,"Jeffrey Rodriguez",38,No,"Travel Rarely",567,"Research and Development",3,5,"Technical Degree",1,4,Male,2019-01-19,52,3,3,"Healthcare Representative",3,Divorced,8360,10281,1,NULL,No,17,3,3,80,2,19,2,3,5,3,5,0,0
1643,"William King",26,Yes,"No Travel",102,"Research and Development",3,4,"Life Science",1,1,Male,2020-09-09,71,3,2,"Research Director",3,Married,5998,26852,8,NULL,Yes,12,3,3,80,1,4,3,2,4,2,2,2,1
1808,"George Walker",32,No,"Travel Rarely",148,"Research and Development",2,4,"Technical Degree",1,3,Male,2012-05-03,55,2,4,"Laboratory Technician",1,Married,13191,15604,3,NULL,No,21,3,1,80,0,12,3,3,12,3,11,1,0
1518,"Jessica Harris",37,No,"Travel Rarely",544,"Research and Development",13,2,"Technical Degree",1,1,Female,2020-09-29,38,3,4,"Healthcare Representative",2,Married,15161,22113,2,NULL,No,24,3,4,80,0,16,1,3,4,3,1,4,0
8623,"Stephanie Thomas",41,No,"Travel Frequently",1460,"Research and Development",12,4,"Life Science",1,3,Female,2011-10-06,34,3,4,"Research Scientist",2,Single,8994,7991,1,NULL,No,20,3,1,80,0,23,3,3,13,7,0,3,0
7542,"Barbara Brown",27,No,"Travel Rarely",909,"Research and Development",1,5,"Life Science",1,4,Female,2020-08-15,30,3,2,"Research Scientist",2,Divorced,5564,17011,4,NULL,No,18,3,1,80,1,8,3,3,4,3,4,1,0
3479,"Joshua Taylor",42,No,"Travel Rarely",492,"Research and Development",2,3,Medical,1,4,Male,2022-05-16,54,3,3,"Research Director",4,Married,8572,15118,3,NULL,No,18,3,1,80,0,23,5,3,2,0,0,0,0
1043,"Robert Smith",45,Yes,"Travel Rarely",316,"Research and Development",1,4,"Life Science",1,2,Male,2016-01-02,70,4,4,"Laboratory Technician",2,Married,13883,4731,4,NULL,No,13,3,2,80,2,27,2,3,8,0,1,8,1
9324,"Dorothy Taylor",41,Yes,NULL,1178,Sales,2,5,"Human Resources",1,4,Female,2013-11-11,85,3,3,"Sales Representative",3,Married,7404,10037,2,NULL,Yes,14,3,2,80,0,19,1,3,11,6,7,11,1
1003,"Edward Torres",31,No,"Travel Rarely",286,"Research and Development",8,3,Medical,1,1,Male,2017-07-02,45,4,3,"Laboratory Technician",2,Single,8695,22948,3,NULL,No,15,4,3,80,0,13,3,3,7,3,2,3,0
2128,"David Taylor",48,No,"Travel Frequently",307,"Research and Development",29,2,"Life Science",1,3,Male,2022-04-07,90,2,5,"Manufacturing Director",4,Single,15891,20313,3,NULL,No,18,3,3,80,1,26,6,3,2,0,2,0,0
4286,"Gary Nguyen",41,No,"No Travel",171,"Research and Development",4,2,Medical,1,2,Male,2006-06-15,99,2,5,"Laboratory Technician",1,Divorced,19288,9492,3,NULL,No,18,3,4,80,2,20,2,2,18,8,8,0,0
1230,"Nancy Jackson",26,No,"No Travel",705,"Research and Development",4,3,Other,1,1,Female,2018-06-01,82,2,3,"Research Scientist",3,Married,7392,16402,5,NULL,No,22,3,2,80,0,7,0,1,6,3,2,3,0
5036,"James Lee",27,No,"Travel Frequently",115,"Research and Development",13,1,"Human Resources",1,4,Male,2019-12-28,94,3,3,"Research Scientist",4,Married,6876,19979,3,NULL,No,14,3,4,80,0,9,2,2,5,5,2,1,0
4145,"Paul Jackson",41,No,"No Travel",315,Sales,3,3,"Life Science",1,3,Male,2019-02-20,57,3,4,"Sales Executive",4,Single,?,12816,2,NULL,No,13,4,4,80,3,22,0,2,5,3,5,4,0
7308,"Charles Miller",50,Yes,"Travel Rarely",355,"Research and Development",11,1,"Life Science",1,3,Male,2016-05-01,54,3,3,Manager,3,Single,9883,6298,1,NULL,Yes,21,3,2,80,0,32,2,4,8,5,8,6,1
4097,"David Perez",19,Yes,"Travel Rarely",1398,"Research and Development",2,3,"Life Science",1,2,Male,2024-08-06,77,3,1,"Research Scientist",3,Single,2762,9819,6,NULL,No,13,3,3,80,1,0,0,2,0,0,0,0,1
5948,"Anthony Scott",48,No,"Travel Rarely",646,"Research and Development",3,2,"Life Science",1,4,Male,2011-11-07,87,3,5,"Laboratory Technician",2,Single,19999,25793,2,NULL,No,23,3,4,80,1,29,2,1,13,5,3,12,0
3405,"Joseph White",34,No,"Travel Rarely",1125,"Research and Development",2,3,"Life Science",1,1,Male,2014-08-03,48,3,3,"Laboratory Technician",3,Married,10919,21319,4,NULL,No,16,3,4,80,2,13,2,3,10,8,9,3,0
313,"William Hernandez",29,Yes,"Travel Rarely",676,"Research and Development",4,3,"Life Science",1,1,Male,2019-04-20,64,3,2,"Laboratory Technician",1,Single,4458,12698,2,NULL,No,22,3,3,80,1,8,1,2,5,4,5,3,1
1158,"Mary Williams",39,No,"Travel Rarely",1331,"Human Resources",13,2,Marketing,1,4,Female,2024-11-05,94,4,5,"Human Resources",3,Single,19999,26611,1,NULL,No,24,3,3,80,0,18,3,2,0,0,0,0,0
7200,"Edward Walker",50,No,"Travel Rarely",958,"Research and Development",5,3,"Life Science",1,4,Male,2004-10-11,60,3,4,"Research Scientist",4,Single,17287,6263,3,NULL,No,16,3,1,80,2,31,4,3,20,7,16,16,0
9715,"Ronald Flores",36,No,"Travel Rarely",274,"Research and Development",22,3,Medical,1,4,Male,2015-03-27,33,3,4,"Research Scientist",3,Married,18079,16508,1,NULL,No,13,3,3,80,1,18,4,2,9,3,9,4,0
2560,"Jason Young",54,No,"Travel Frequently",383,"Research and Development",5,1,"Life Science",1,3,Male,1999-07-10,45,3,4,Manager,3,Divorced,13949,9544,1,NULL,No,20,3,3,80,0,33,2,2,25,8,11,16,0
836,"Ronald Young",41,No,"Travel Rarely",480,Sales,4,3,Medical,1,3,Male,2014-03-20,50,3,4,"Sales Representative",1,Single,7718,12310,2,NULL,Yes,21,4,2,80,0,20,5,3,10,3,9,10,0
5187,"Kenneth Jones",26,No,"No Travel",1004,Sales,3,3,"Life Science",1,1,Male,2022-04-06,89,2,3,"Sales Executive",3,Married,7786,18435,3,NULL,No,23,4,2,80,0,7,3,3,2,1,1,0,0
6808,"Andrew Scott",18,No,"Travel Rarely",511,"Research and Development",1,2,"Technical Degree",1,2,Male,2024-08-06,91,3,1,"Healthcare Representative",1,Single,2951,10660,2,NULL,No,15,3,4,80,0,0,3,2,0,0,0,0,0
4820,"George Garcia",46,No,"Travel Frequently",310,Sales,19,2,"Technical Degree",1,2,Male,2024-09-21,76,3,4,"Sales Representative",4,Single,17593,8691,4,NULL,No,24,3,2,80,0,24,1,3,0,0,0,0,0
7342,"Ryan Wright",47,Yes,"Travel Rarely",1481,"Human Resources",21,2,"Technical Degree",1,2,Male,2003-11-20,30,3,4,"Human Resources",1,Divorced,16199,3262,0,NULL,No,22,3,2,80,1,28,2,3,21,16,19,8,1
8036,"Charles Lewis",44,No,"Travel Rarely",1349,"Research and Development",16,3,"Human Resources",1,3,Male,2003-08-16,38,2,4,"Research Scientist",3,Divorced,15037,11560,4,NULL,Yes,22,3,4,80,2,23,2,2,21,16,19,7,0
3868,"Jessica Brown",37,Yes,"Travel Rarely",318,Sales,7,5,Medical,1,3,Female,2009-07-08,81,2,5,Manager,2,Single,18437,6742,1,NULL,No,23,3,2,80,0,15,0,3,15,14,5,6,1
3975,"Susan Thomas",33,No,"No Travel",1443,Sales,3,4,Marketing,1,4,Female,2013-09-02,72,3,4,"Sales Executive",3,Divorced,12701,11105,2,NULL,Yes,18,3,3,80,2,14,1,1,11,3,2,8,0
4052,"Carol Sanchez",20,No,"Travel Rarely",1224,Sales,2,3,Other,1,1,Female,2023-08-10,86,2,1,"Sales Representative",3,Divorced,3004,14540,3,NULL,No,22,3,1,80,0,2,5,3,1,0,1,0,0
3385,"Anthony Ramirez",33,Yes,"Travel Frequently",175,"Research and Development",7,5,"Life Science",1,4,Male,2019-02-24,37,2,4,"Laboratory Technician",3,Divorced,13517,22311,2,NULL,Yes,17,3,4,80,0,15,1,3,5,3,0,4,1
5556,"Dorothy Flores",40,Yes,"Travel Rarely",1388,"Research and Development",2,3,"Technical Degree",1,3,Female,2021-09-11,61,2,5,"Research Scientist",3,Married,19999,3128,4,NULL,No,17,3,4,80,1,20,5,3,3,0,3,1,1
1957,"Karen Davis",44,No,"Travel Rarely",1247,Sales,10,4,NULL,1,3,Female,2013-11-05,50,3,4,"Sales Executive",3,Single,14619,12283,1,NULL,Missing,21,3,3,80,0,25,5,2,11,3,2,6,0
255,"Thomas Rodriguez",56,No,"Travel Rarely",899,Sales,3,2,Medical,1,3,Male,1990-10-24,88,2,5,"Sales Executive",3,Single,16279,17176,3,NULL,No,11,3,1,80,1,38,1,4,34,26,30,22,0
9713,"Thomas King",30,No,"No Travel",1442,Sales,2,5,NULL,1,1,Male,2014-02-04,97,1,4,Manager,4,Married,17889,25746,2,NULL,Yes,18,3,3,80,1,12,4,2,10,2,9,4,0
6953,"Cynthia Davis",34,No,"Travel Rarely",364,"Human Resources",10,4,"Technical Degree",1,2,Female,2022-03-06,50,3,4,"Human Resources",2,Married,16650,12310,2,NULL,No,15,3,2,80,0,14,3,2,2,0,1,1,0
9185,"Brian Perez",41,No,"Travel Frequently",392,"Research and Development",20,2,"Life Science",1,4,Missing,2009-01-17,70,3,4,"Research Scientist",2,Single,12601,22878,3,NULL,No,20,3,3,80,0,20,2,4,15,2,9,14,0
5693,"Donna Johnson",0,No,"Travel Rarely",628,"Research and Development",7,3,Marketing,1,4,Female,2009-06-07,42,4,3,"Research Scientist",2,Divorced,9762,15532,2,NULL,Yes,13,3,3,80,1,17,3,1,15,9,6,6,0
1050,"Andrew Anderson",31,No,"Travel Rarely",1393,Sales,1,4,"Life Science",1,2,Male,2020-06-03,59,4,2,"Sales Executive",3,Married,5255,13622,2,NULL,No,13,3,4,80,3,10,1,3,4,1,0,4,0
3173,"George Jones",36,No,"Travel Rarely",1246,"Research and Development",3,4,"Life Science",1,3,Male,2023-12-02,66,4,4,"Manufacturing Director",2,Married,13592,19122,2,NULL,No,23,4,1,80,0,17,2,1,1,1,0,0,0
3417,"Ronald Thompson",39,No,"Travel Rarely",527,Sales,1,3,"Life Science",1,2,Male,2011-10-23,40,4,5,"Sales Executive",1,Single,19999,13269,1,NULL,No,16,3,2,80,2,17,4,4,13,1,11,1,0
6471,"Carol Clark",38,Yes,"Travel Frequently",1228,"Research and Development",9,5,"Technical Degree",1,2,Female,2006-02-23,82,3,3,"Research Scientist",2,Single,5908,16418,2,NULL,No,12,3,3,80,1,20,1,4,18,15,6,0,1
468,"Joshua Garcia",46,No,"Travel Rarely",404,"Research and Development",2,2,"Technical Degree",1,3,Male,2022-01-16,44,3,4,"Laboratory Technician",3,Married,19266,21110,3,NULL,No,15,3,4,80,1,24,2,3,2,2,1,1,0
7043,"Melissa Williams",23,No,"Travel Rarely",1461,"Human Resources",1,4,"Life Science",1,4,Female,2023-05-07,67,3,1,"Human Resources",1,Married,3831,7648,1,NULL,No,17,3,4,80,0,1,2,2,1,0,0,1,0
2403,"Patricia Lopez",42,No,"No Travel",1402,"Research and Development",9,1,Medical,1,4,Female,2004-12-31,85,1,3,Manager,2,Divorced,8962,16867,6,NULL,Missing,23,3,2,80,2,24,2,3,20,4,20,15,0
3103,"Charles Lewis",36,No,"Travel Rarely",727,"Research and Development",4,3,Medical,1,4,Male,2009-06-04,97,1,5,"Manufacturing Director",3,Divorced,19999,12529,5,NULL,No,17,3,1,80,1,18,3,2,15,9,10,9,0
6863,"Ryan Thompson",36,No,"Travel Rarely",237,"Research and Development",1,4,"Technical Degree",1,3,Male,2021-12-04,36,2,4,"Research Director",2,Divorced,13805,15234,0,NULL,Yes,13,3,2,80,2,18,2,3,3,0,1,0,0
8880,"Daniel White",39,No,"Travel Rarely",853,Sales,6,4,Marketing,1,4,Male,2010-06-07,92,3,5,"Sales Executive",2,Married,18819,24013,0,NULL,Yes,22,3,2,80,0,21,1,3,14,11,6,4,0
6624,"Thomas King",18,No,"Travel Rarely",995,"Research and Development",14,4,Medical,1,1,Male,NULL,92,2,1,"Research Scientist",3,Married,2535,7853,1,NULL,No,13,3,4,80,3,0,3,3,0,0,0,0,0
5365,"Charles Williams",37,No,"Travel Rarely",NULL,"Research and Development",3,4,"Technical Degree",1,3,Male,2018-12-18,86,1,5,Manager,3,Married,19999,19805,1,NULL,No,16,4,2,80,1,15,1,3,6,4,5,1,0
5341,"Jacob Wright",33,No,"Travel Rarely",774,"Research and Development",13,2,"Technical Degree",1,4,Male,2018-03-04,53,3,4,"Laboratory Technician",3,Married,11770,12394,1,NULL,No,14,3,4,80,1,14,2,2,6,6,5,0,0
6726,"Jessica Sanchez",49,No,"Travel Rarely",816,"Research and Development",17,1,Medical,1,3,Female,NULL,44,1,3,"Laboratory Technician",3,Divorced,12064,19472,4,NULL,No,14,3,4,80,1,31,2,3,28,13,18,25,0
3141,"Mark Hernandez",31,Yes,"Travel Frequently",611,"Research and Development",13,3,"Technical Degree",1,3,Male,2018-04-22,97,3,4,"Research Scientist",4,Single,14511,9375,2,NULL,No,13,3,3,80,2,12,3,2,6,6,3,6,1
6826,"Susan Williams",49,No,"No Travel",149,Sales,1,3,"Human Resources",1,2,Female,2015-12-17,60,3,3,"Sales Representative",2,Divorced,7196,22482,2,NULL,No,24,3,4,80,1,31,2,3,9,0,2,7,0
7405,"Charles Lewis",30,No,"Travel Rarely",1374,"Research and Development",8,5,Missing,1,4,Male,2022-06-02,87,3,3,"Laboratory Technician",3,Single,9834,26115,2,NULL,No,11,3,4,80,0,11,6,3,2,2,1,2,0
1189,"Mary Harris",47,Missing,"Travel Rarely",631,Sales,23,4,Marketing,1,3,Female,NULL,57,3,4,"Sales Representative",3,Married,13396,13899,4,NULL,Yes,18,3,2,80,0,29,1,4,12,11,4,0,NULL
654,"Kevin Nguyen",31,Yes,"Travel Rarely",412,"Human Resources",15,2,Marketing,1,2,Male,2019-04-02,91,2,4,Manager,1,Married,11623,21537,4,NULL,No,12,3,3,80,0,12,3,2,5,5,5,5,1
8101,"Edward Torres",46,Yes,"Travel Rarely",1422,Sales,8,3,Marketing,1,1,Male,2024-12-26,84,2,4,"Sales Executive",1,Married,10408,23370,2,NULL,Yes,13,3,3,80,1,25,6,2,0,0,0,0,1
8818,"Mary Young",30,No,"Travel Rarely",1285,"Human Resources",5,3,Marketing,1,3,Female,2022-01-30,59,3,3,"Human Resources",3,Married,12703,8091,3,NULL,Yes,17,3,2,80,1,10,2,2,2,2,0,0,0
1948,"Susan Torres",43,No,"Travel Rarely",798,"Research and Development",6,2,"Life Science",1,2,Female,2017-07-01,75,1,5,"Research Director",3,Single,18653,24484,3,NULL,No,20,3,3,80,1,23,5,4,7,0,2,5,0
5881,"Sandra Nguyen",34,No,"Travel Rarely",1188,"Research and Development",3,4,"Life Science",1,3,Female,2016-08-18,46,3,5,"Manufacturing Director",1,Married,19999,23644,6,NULL,Yes,22,3,4,80,3,14,2,3,8,7,0,4,0
6346,"Joshua Rodriguez",47,Yes,"Travel Rarely",1281,"Human Resources",12,4,"Human Resources",1,4,Male,2006-07-25,80,2,4,"Human Resources",2,Divorced,10927,3399,2,NULL,No,22,3,3,80,1,28,5,3,18,12,4,4,1
285,"Andrew Lopez",25,No,"Travel Rarely",120,"Human Resources",7,2,"Human Resources",1,3,Male,2023-12-06,68,3,2,"Human Resources",3,Married,4859,26473,1,NULL,Yes,22,3,3,80,1,4,6,2,1,0,0,1,0
4794,"Jacob Young",51,No,"Travel Frequently",855,"Research and Development",-23,2,"Human Resources",1,2,Male,2022-05-09,38,1,4,"Laboratory Technician",2,Divorced,14040,26010,3,NULL,Yes,17,3,2,80,0,32,2,4,2,0,0,0,0
5081,"Lisa King",44,No,"Travel Rarely",134,"Research and Development",4,3,Medical,1,4,Female,2019-12-23,44,3,4,"Research Scientist",4,Married,11703,8547,5,NULL,No,18,3,1,80,1,26,3,2,5,1,0,5,0
2933,"Carol Rodriguez",40,No,"Travel Rarely",103,Sales,1,4,Medical,1,2,Female,2014-08-19,51,3,3,"Sales Executive",4,Single,7472,10057,2,NULL,No,20,4,4,80,1,20,2,3,10,10,5,10,0
8367,"David Davis",24,No,"Travel Rarely",753,"Research and Development",5,3,"Life Science",1,2,Male,2021-12-01,78,3,2,"Laboratory Technician",3,Married,5966,8776,1,NULL,No,14,3,2,80,0,5,5,3,3,3,2,2,0
6147,"Carol Gonzalez",51,No,"Travel Frequently",1463,"Human Resources",5,3,"Life Science",1,2,Female,2010-09-17,96,4,3,"Human Resources",3,Single,7833,3665,4,NULL,No,18,3,3,80,1,32,2,2,14,9,9,4,0
2583,"Carol Hill",35,No,"Travel Rarely",1239,"Research and Development",5,4,Other,1,3,Female,2014-08-28,80,2,4,"Research Scientist",4,Married,13951,22573,4,NULL,No,22,3,3,80,0,15,1,4,10,9,7,3,0
7564,"Paul Nguyen",39,No,"Travel Frequently",1000,Sales,3,4,Medical,1,3,Male,2021-03-05,77,2,4,"Sales Representative",3,Married,13910,9860,2,NULL,No,13,3,3,80,1,21,2,2,3,3,3,0,0
7725,"Lisa Anderson",49,No,"Travel Rarely",1394,"Research and Development",1,4,Medical,1,3,Female,2019-12-02,70,4,4,"Healthcare Representative",3,Single,11911,19443,1,NULL,No,21,3,4,80,1,28,2,3,5,5,4,3,0
1046,"Brian Thompson",37,No,"Travel Rarely",938,"Research and Development",2,3,"Technical Degree",1,1,Male,2019-09-28,99,2,3,"Healthcare Representative",4,NULL,5783,3307,4,NULL,No,11,3,2,80,0,15,2,4,5,5,0,2,0
2738,"Jacob Jackson",32,No,"Travel Rarely",276,Sales,2,2,Marketing,1,2,Male,2022-01-14,44,2,3,"Sales Executive",1,Single,8848,25995,6,NULL,No,23,3,1,80,0,14,0,3,2,0,2,1,0
3386,"Jeffrey Martin",49,No,"Travel Rarely",1238,"Research and Development",7,3,"Life Science",1,4,Male,2016-07-07,76,1,4,"Research Scientist",2,Single,9439,13126,3,NULL,No,14,3,3,80,1,28,2,2,8,0,7,4,0
278,"Michael Hernandez",36,No,"Travel Frequently",1232,"Research and Development",1,3,"Life Science",1,4,Male,2013-10-07,57,2,5,"Manufacturing Director",1,Married,18657,16846,1,NULL,No,23,3,1,80,1,14,2,3,11,8,8,4,0
4552,"Barbara Rodriguez",32,No,"Travel Rarely",1470,"Research and Development",15,2,"Technical Degree",1,4,Female,2017-08-24,89,2,4,"Laboratory Technician",3,Single,8946,9774,2,NULL,Yes,21,4,3,80,1,12,0,4,7,2,3,4,0
6678,"Lisa Johnson",41,No,"Travel Rarely",897,"Research and Development",1,3,"Technical Degree",1,4,Female,2012-06-07,76,3,3,"Research Scientist",2,Married,8980,3477,5,NULL,No,11,3,1,80,0,19,2,4,12,5,5,6,0
3844,"Jessica Williams",41,No,"Travel Rarely",1070,Sales,20,3,Marketing,1,4,Female,2024-05-14,87,2,3,"Sales Executive",2,Married,7175,19111,3,NULL,No,24,4,3,80,0,21,1,4,0,0,0,0,0
5526,"Gary Allen",38,No,"Travel Frequently",496,"Research and Development",1,2,"Technical Degree",1,3,Male,2016-06-16,95,4,3,"Laboratory Technician",3,Divorced,9061,21381,1,NULL,No,13,3,4,80,0,16,2,3,8,4,7,6,0
7303,"Robert Torres",48,No,"Travel Rarely",1150,"Research and Development",4,2,Other,1,1,Male,1996-11-05,94,3,3,"Laboratory Technician",1,Married,9874,20111,7,NULL,No,21,4,4,80,0,30,2,4,28,9,21,2,0
3083,"Paul Taylor",21,No,"Travel Frequently",1485,"Research and Development",14,4,"Technical Degree",1,4,Male,2024-03-14,53,4,1,"Research Scientist",2,Married,3193,3050,5,NULL,Yes,21,3,2,80,1,0,2,2,0,0,0,0,0
8258,"Ryan Anderson",35,No,"Travel Rarely",469,"Research and Development",10,2,Medical,1,3,Male,2017-12-04,42,4,4,"Laboratory Technician",3,Married,13508,2523,2,NULL,No,23,3,4,80,0,17,3,3,7,1,6,2,0
7084,"Donna Martin",47,No,"Travel Rarely",889,Sales,9,2,"Life Science",1,2,Female,2017-12-09,99,4,3,"Sales Executive",4,Divorced,7145,4114,5,NULL,No,13,3,3,80,1,26,3,3,7,3,6,5,0
683,"Carol Martin",25,No,"Travel Rarely",234,"Research and Development",2,3,"Life Science",1,4,Female,2024-04-09,52,3,1,"Manufacturing Director",4,Single,N/A,5537,3,NULL,No,17,3,2,80,0,3,3,3,0,0,0,0,0
4020,"Linda Allen",51,No,"Travel Rarely",1085,Sales,5,1,"Technical Degree",1,1,Female,2009-05-31,53,3,3,"Sales Representative",3,Single,8596,14735,3,NULL,No,15,3,3,80,1,30,5,3,15,3,15,11,0
9193,"Brian Garcia",39,No,"Travel Rarely",825,Sales,17,1,Marketing,1,1,Male,2023-12-02,36,3,4,"Sales Executive",4,Divorced,17646,15629,4,NULL,No,15,3,4,80,0,18,2,2,1,0,1,1,0
2662,"Jeffrey Torres",46,No,"Travel Rarely",723,"Research and Development",5,4,Medical,1,4,Male,1996-10-18,98,1,3,"Research Scientist",4,Married,10910,17045,5,NULL,No,20,3,2,80,0,28,1,2,28,12,15,18,0
535,"Ronald Allen",44,No,"Travel Rarely",1106,Sales,2,3,Marketing,1,2,Male,2010-01-21,56,2,3,"Sales Representative",4,Missing,8085,5149,2,NULL,No,24,3,4,80,1,24,4,3,14,0,13,8,0
1307,"Laura Robinson",43,No,"No Travel",844,"Research and Development",5,4,"Technical Degree",1,2,Female,2006-03-02,62,3,4,"Research Scientist",4,Divorced,9619,22747,0,NULL,Yes,14,3,1,80,2,25,5,2,18,2,12,18,0
3009,"Sarah Flores",51,No,"No Travel",369,"Human Resources",17,4,Medical,1,4,Female,2008-04-29,77,2,4,"Human Resources",2,Married,10554,6776,3,NULL,No,24,3,4,80,1,30,3,3,16,1,0,11,0
936,"Mary Thompson",38,No,"Travel Rarely",411,Sales,7,3,"Technical Degree",1,3,Female,2012-05-02,44,1,3,"Sales Executive",2,Married,9504,13444,2,NULL,No,18,3,1,80,1,19,6,4,12,10,5,1,0
434,"Mark Allen",42,No,"Travel Rarely",1185,"Research and Development",14,2,"Life Science",1,2,Male,2015-10-27,68,3,5,"Laboratory Technician",4,Divorced,19999,3311,2,NULL,No,12,3,3,80,0,21,2,3,9,2,2,0,0
7857,"Richard Wilson",44,No,"Travel Rarely",419,"Research and Development",7,3,"Technical Degree",1,1,Male,2003-08-06,72,2,4,"Manufacturing Director",4,Single,13580,12719,0,NULL,No,15,3,3,80,1,25,2,3,21,4,11,20,0
