EmployeeNumber,EmployeeName,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HireDate,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
9535,Lisa Jackson,37,No,Travel_Frequently,1402,Research & Development,6,3,Marketing,1,1,Female,05/06/2017,62,2,4,Laboratory Technician,3,Married,14032,10737,3,Y,Yes,22,3,4,80,0,18,5,4,7,5,6,6
5846,Kimberly Robinson,27,No,Travel_Rarely,$761,Research & Development,1,3,Medical,1,4,Female,2018-08-20,35,1,2,Laboratory Technician,2,Married,5929,18571,2,Y,No,18,4,2,80,1,6,0,3,6,5,2,1
3294,Barbara Thomas,46,No,Travel_Frequently,1109,Sales,3,3,Marketing,1,3,female,"December 05, 2019",30,2,4,Sales Executive,2,divorced,"19,644",11719,2,Y,Yes,22,4,3,80,1,28,2,3,5,1,0,5
7006,Karen Flores,31,No,Travel_Rarely,1426,RESEARCH & DEVELOPMENT,11,3,life sciences,1,4,Female,17-Aug-2015,92,3,5,Laboratory Technician,3,Married,17912,4706,3,Y,No,22,4,2,80,1,12,5,3,9,2,9,7
7297,Charles Johnson,NA,No,Travel_Rarely,508,Research & Development,15,4,Life Sciences,1,1,Male,2005-06-21,39,1,4,Research Scientist,3,Married,13023,14665,2,Y,No,15,4,1,80,0,24,2,3,19,0,18,14
5588,  John Garcia  ,35,No,Travel_Rarely,1377,Research & Development,7,3,Human Resources,1,3,Male,2010-01-12,43,2,4,Manufacturing Director,4,Married,"12,383",18647,4,Y,No,15,3,3,80,1,14,0,3,14,11,12,4
417,James Lee,48,No,travel_rarely,1345,Research & Development,4,3,Medical,1,3,Male,06/14/1998,42,3,4,Research Scientist,4,single,11978,17412,3,Y,No,11,3,3,80,1,29,3,3,26,9,5,8
5838,Robert Brown,34,No,Travel_Rarely,1483,research & development,16,2,Other,1,1,Male,05/10/2021,97,3,4,Laboratory Technician,4,Single,$18417.00,7617,1,Y,No,16,4,2,80,0,15,2,3,3,0,1,3
6882,Linda Flores,29,No,Travel_Frequently,569,Research & Development,3,3,medical,1,2,Female,2017-07-04,57,2,2,Manufacturing Director,2,Married,6735,5881,3,Y,No,23,3,2,80,1,8,6,4,7,5,6,1
7250,Lisa Thompson,40,Yes,Travel_Rarely,1102,Research & Development,-7,2,Medical,1,2,Female,10/03/2022,48,4,3,Research Scientist,4,Divorced,7329,21674,1,Y,No,13,4,1,80,1,18,2,1,2,2,0,0
9463,Kimberly Gonzalez,38,Yes,Non-Travel,$1250,Sales,2,3,Marketing,1,3, Female,09/06/2023,79,4,3,Sales Executive,3,Married,"$8,578",25886,3,Y,unknown,20,4,3,80,1,17,2,3,1,1,1,1
8550,Jeffrey Rodriguez,38,No,Travel_Rarely,567,Research & Development,3,5,Technical Degree,1,4,Male,2019-01-19,52,3,3,Healthcare Representative,3,Divorcd,"$8,360",10281,1,Y,No,17,3,3,80,2,19,2,3,5,3,5,0
1643,William King,26,Yes,Non-Travel,102,Research & Development,3,4,Life Sciences,1,1,M,2020-09-09,71,3,2,Research Director,3,Married,5998,26852,8,Y,Yes,12,3,3,80,1,4,3,2,4,2,2,2
1808,George Walker,32,No,Travel Rarely,148,Research & Development,2,4,Technical Degree,1,3,Male,03-May-2012,55,2,4,Laboratory Technician,1,Married,"13,191",15604,3,Y,No,21,3,1,80,0,12,3,3,12,3,11,1
1518,Jessica Harris,37,No,Travel_Rarely,544,Research & Development,13,2,Technical Degree,1,1,Female,09/29/2020,38,3,4,Healthcare Representative,2,Married,"15,161",22113,2,Y,No,24,3,4,80,0,16,1,3,4,3,1,4
3473,Michelle Robinson,36,No,Travel_Rarely,$946,RESEARCH & DEVELOPMENT,1,2,-,1,4,Female,11/03/2009,73,3,5,Healthcare Representative,3,DIVORCED,19908,4433,1,Y,No,15,4,1,80,2,16,4,3,15,10,1,3
8623,Stephanie Thomas,41,No,Travel_Frequently,1460,RESEARCH & DEVELOPMENT,12,4,Life Sciences,1,3,female,10/06/2011,34,3,4,Research Scientist,2,single,8994,7991,1,Y,No,20,3,1,80,0,23,3,3,13,7,0,3
7542,Barbara Brown,27,No,Travel Rarely,909,Research and Development,1,5,Life Sciences,1,4,Female,08/15/2020,30,3,2,Research Scientist,2,divorced,5564,17011,4,Y,No,18,3,1,80,1,8,3,3,4,3,4,1
3479,Joshua Taylor,42,No,Travel_Rarely,492,Research & Development,2,3,Medical,1,4,Male,16-May-2022,54,3,3,Research Director,4,Married,8572,15118,3,Y,NO,18,3,1,80,0,23,5,3,2,0,0,0
517,Steven Moore,39,No,Travel_Rarely,$1461,HUMAN RESOURCES,14,5,Human Resources,1,3,Male,07/09/2024,46,4,3,Human Resources,4,SINGLE,"8,126",22225,1,Y,no,19,3,1,80,2,17,2,2,0,0,0,0
1043,Robert Smith,45.0,Yes,Travel_Rarely,316,research & development,1,4,Life Sciences,1,2,male,01/02/2016,70,4,4,Laboratory Technician,2,Married,13883,4731,4,Y,No,13,3,2,80,2,27,2,3,8,0,1,8
9324,dorothy taylor,41,Yes,NA,1178,Sales ,2,5,Human Resources,1,4,female,11/11/2013,85,3,3,Sales Representative,3,Married,7404,10037,2,Y,Yes,14,3,2,80,0,19,1,3,11,6,7,11
1003,Edward Torres,31,No,travel_rarely,286,R&D,8,3,Medical,1,1, Male,02-Jul-2017,45,4,3,Laboratory Technician,2,Single,"$8,695",22948,3,Y,No,15,4,3,80,0,13,3,3,7,3,2,3
2128,David Taylor,48.0,No,Travel_Frequently,307,Research & Development,29,2,Life Sciences,1,3,MALE,04/07/2022,90,2,5,Manufacturing Director,4,SINGLE,"$15,891",20313,3,Y,No,18,3,3,80,1,26,6,3,2,0,2,0
4286,Gary Nguyen,41,No,Non-Travel,171,Research & Development,4,2,Medical,1,2,MALE,06/15/2006,99,2,5,Laboratory Technician,1,Divorced,"$19,288",9492,3,Y,NO,18,3,4,80,2,20,2,2,18,8,8,0
1230,Nancy Jackson,26,No,Non-Travel,705,Research & Development,4,3,Other,1,1,Female,06/01/2018,82,2,3,Research Scientist,3,Married,"$7,392",16402,5,Y,NO,22,3,2,80,0,7,0,1,6,3,2,3
5036,James Lee,27,No,Travel_Frequently,115,Research & Development,13,1,Human Resources,1,4,Male,28/12/2019,94,3,3,Research Scientist,4,Married,$6876.00,19979,3,Y,N,14,3,4,80,0,9,2,2,5,5,2,1
4145,Paul Jackson,41,No,Non-Travel,315,Sales,3,3,Life Sciences,1,3, Male,02/20/2019,57,3,4,Sales Executive,4,Single,?,12816,2,Y,No,13,4,4,80,3,22,0,2,5,3,5,4
7308,Charles Miller,50,Yes,Travel_Rarely,355,Research & Development,11,1,Life Sciences,1,3,Male,05/01/2016,54,3,3,Manager,3,Single,9883,6298,1,Y,Yes,21,3,2,80,0,32,2,4,8,5,8,6
4097,David Perez,19,Yes,Travel_Rarely,1398,Research & Development,2,3,Life Sciences,1,2,Male,2024-08-06,77,3,1,Research Scientist,3,Single,"$2,762",9819,6,Y,no,13,3,3,80,1,0,0,2,0,0,0,0
5948,  Anthony Scott  ,48,No,Travel_Rarely,646,Research & Development,3,2,Life Sciences,1,4,Male,2011-11-07,87,3,5,Laboratory Technician,2,Single,"19,999",25793,2,Y,No,23,3,4,80,1,29,2,1,13,5,3,12
4874,Jason Perez,26.0,No,Travel_Frequently,$354,Human Resources,8,2,Human Resources,1,4,Male,2022-12-13,79,2,3,Human Resources,1,Married,7048,23697,3,Y,No,17,3,4,80,0,8,1,3,2,0,1,2
3405,Joseph White,34,No,Travel_Rarely,1125,Research and Development,2,3,Life Sciences,1,1,Male,2014-08-03,48,3,3,Laboratory Technician,3,Married,10919,21319,4,Y,No,16,3,4,80,2,13,2,3,10,8,9,3
313,William Hernandez,29,Yes,Travel_Rarely,676,Research & Development,4,3,life sciences,1,1,Male,20-Apr-2019,64,3,2,Laboratory Technician,1,single,"$4,458",12698,2,Y,No,22,3,3,80,1,8,1,2,5,4,5,3
5854,Betty Williams,23,No,Travel_Rarely,$921,Research & Development,5,3,Technical Degree,1,4,Female,29/07/2022,91,3,1,Manager,2,Married,2501,26803,4,Y,Yes,16,4,3,80,1,5,2,3,2,2,0,2
1158,Mary Williams,39,No,Travel_Rarely,1331, Human Resources,13,2,Marketing,1,4,Female,11/05/2024,94,4,5,Human Resources,3,SINGLE,"$19,999",26611,1,Y,N,24,3,3,80,0,18,3,2,0,0,0,0
7200,Edward Walker,50,No,Travel_Rarely,958,Research & Development,5,3,Life Sciences,1,4,Male,2004-10-11,60,3,4,Research Scientist,4, Single,17287,6263,3,Y,No,16,3,1,80,2,31,4,3,20,7,16,16
9715,Ronald Flores,36,No,Travel_Rarely,274,Research & Development,22,3,Medical,1,4,Male,27/03/2015,33,3,4,Research Scientist,3,Married,$18079.00,16508,1,Y,No,13,3,3,80,1,18,4,2,9,3,9,4
2560,JASON YOUNG,54,No,Travel_Frequently,383,Research & Development,5,1,Life Sciences,1,3,male,1999-07-10,45,3,4,Manager,3,DIVORCED,13949,9544,1,Y,No,20,3,3,80,0,33,2,2,25,8,11,16
836,  Ronald Young  ,41,No,Travel_Rarely,480,Sales,4,3,Medical,1,3,male,03/20/2014,50,3,4,Sales Representative,1,SINGLE,7718,12310,2,Y,Yes,21,4,2,80,0,20,5,3,10,3,9,10
5187,kenneth jones,26,No,Non-Travel,1004,Sales,3,3,Life Science,1,1,Male,04/06/2022,89,2,3,Sales Executive,3,MARRIED,$7786.00,18435,3,Y,No,23,4,2,80,0,7,3,3,2,1,1,0
6808,Andrew Scott,18,No,Travel_Rarely,511,Research & Development,1,2,Technical Degree,1,2,M,06-Aug-2024,91,3,1,Healthcare Representative,1,Single ,$2951.00,10660,2,Y,0,15,3,4,80,0,0,3,2,0,0,0,0
4820,George Garcia,46,No,Travel_Frequently,310,Sales,19,2,Technical Degree,1,2, Male,21/09/2024,76,3,4,Sales Representative,4,Single,$17593.00,8691,4,Y,N,24,3,2,80,0,24,1,3,0,0,0,0
7342,Ryan Wright,47,Yes,Travel_Rarely,1481,Human Resources,21,2,Technical Degree,1,2,Male,20-Nov-2003,30,3,4,Human Resources,1,Divorced,16199,3262,0,Y,N,22,3,2,80,1,28,2,3,21,16,19,8
8036,Charles Lewis,44,No,TRAVEL_RARELY,1349,Research & Development,16,3,Human Resources,1,3,Male,08/16/2003,38,2,4,Research Scientist,3,Divorced,"15,037",11560,4,Y,Yes,22,3,4,80,2,23,2,2,21,16,19,7
3868,Jessica Brown,37,Yes,Travel_Rarely,318,Sales ,7,5,Medical,1,3,Female,07/08/2009,81,2,5,Manager,2,Single,18437,6742,1,Y,0,23,3,2,80,0,15,0,3,15,14,5,6
3975,Susan Thomas,33,No,Non-Travel,1443,Sales,3,4,Marketing,1,4,Female,09/02/2013,72,3,4,Sales Executive,3,Divorced,12701,11105,2,Y,Yes,18,3,3,80,2,14,1,1,11,3,2,8
4052,Carol Sanchez,20,No,Travel_Rarely,1224,Sales,2,3,other,1,1,Female,10-Aug-2023,86,2,1,Sales Representative,3,Divorced,3004,14540,3,Y,No,22,3,1,80,0,2,5,3,1,0,1,0
3385,Anthony Ramirez,33,Yes,Travel_Frequently,175,Research & Development,7,5,Life Sciences,1,4,Male,24/02/2019,37,2,4,Laboratory Technician,3,Divorced,13517,22311,2,Y,Yes,17,3,4,80,0,15,1,3,5,3,0,4
5556,  Dorothy Flores  ,40,Yes,TRAVEL_RARELY,1388,Research & Development,2,3,Technical Degree,1,3,Female,2021-09-11,61,2,5,Research Scientist,3,Married,19999,3128,4,Y,No,17,3,4,80,1,20,5,3,3,0,3,1
9722,Rebecca Clark,25,No,Travel_Rarely,$507,Research and Development,2,4,life sciences,1,3,Female,2019-11-13,56,2,3,Research Scientist,1,Single,"$8,585",6676,2,Y,No,11,3,2,80,1,5,2,4,5,5,5,0
6198,Kimberly Williams,18,No,Travel_Rarely,unknown,Research & Development,1,3,Medical,1,4,Female,2024-03-31,38,2,1,Research Director,1,Single,"$3,678",23049,4,Y,No,12,3,3,80,1,0,1,4,0,0,0,0
1957,Karen Davis,44,No,Travel_Rarely,1247,Sales,10,4,NA,1,3,Female,2013-11-05,50,3,4,Sales Executive,3,Single,14619,12283,1,Y,-,21,3,3,80,0,25,5,2,11,3,2,6
255,Thomas Rodriguez,56,No,Travel_Rarely,899,Sales,3,2,Medical,1,3,Male,"October 24, 1990",88,2,5,Sales Executive,3,Single,16279,17176,3,Y,No,11,3,1,80,1,38,1,4,34,26,30,22
9713,thomas king,30,No,Non-Travel,1442,Sales ,2,5,,1,1,Male,04-Feb-2014,97,1,4,Manager,4,Married,$17889.00,25746,2,Y,Y,18,3,3,80,1,12,4,2,10,2,9,4
1707,Sandra Thomas,58,Yes,Travel_Rarely,$1110,research & development,18,5,Life Sciences,1,4,Female,02/05/1989,68,2,3,Research Scientist,1,Married,-,18333,3,Y,no,18,3,3,80,0,37,4,4,35,5,29,31
6953,Cynthia Davis,34,No,Travel_Rarely,364,Human Resources,10,4,Technical Degree,1,2,Female,03/06/2022,50,3,4,Human Resources,2,Married,"$16,650",12310,2,Y,NO,15,3,2,80,0,14,3,2,2,0,1,1
9185,Brian Perez,41,No,Travel_Frequently,392,Research & Development,20,2,Life Sciences,1,4,NULL,2009-01-17,70,3,4,Research Scientist,2,Single,12601,22878,3,Y,no,20,3,3,80,0,20,2,4,15,2,9,14
5370,Margaret Jones,,No,Travel_Frequently,807,Sales,12,1,Marketing,1,4,Female,2009-06-16,98,4,5,Sales Executive,2,Married,"19,498",4618,1,Y,N,20,3,2,80,0,23,1,4,15,9,3,5
5693,Donna Johnson,0,No,TRAVEL_RARELY,628,Research and Development,7,3,Marketing,1,4,Female,06/07/2009,42,4,3,Research Scientist,2,Divorced,9762,15532,2,Y,Yes,13,3,3,80,1,17,3,1,15,9,6,6
9247,Mark Hernandez,30,No,Travel_Rarely,1205,Research and Development,28,4,Medical,1,1,Male,21/02/2021,75,2,3,Laboratory Technician,2,Single,7225,4659,Unknown,Y,Yes,14,3,2,80,3,8,2,3,3,0,2,0
1992,Elizabeth Young,24,Yes,,n/a,Sales,7,4,Marketing,1,2,Female,08/13/2024,92,2,2,Sales Executive,3,Married,4222,21349,2,Y,Yes,24,3,4,80,0,2,3,4,0,0,0,0
1050,Andrew Anderson,31,No,Travel_Rarely,1393,Sales,1,4,life sciences,1,2,Male,"June 03, 2020",59,4,2,Sales Executive,3,Maried,5255,13622,2,Y,0,13,3,4,80,3,10,1,3,4,1,0,4
3173,George Jones,36,No,Travel_Rarely,1246,Research & Development,3,4,Life Sciences,1,3,Male,12/02/2023,66,4,4,Manufacturing Director,2,Married,"$13,592",19122,2,Y,N,23,4,1,80,0,17,2,1,1,1,0,0
3417,Ronald Thompson,39,No,TRAVEL_RARELY,527,sales,1,3,Life Sciences,1,2,M,2011-10-23,40,4,5,Sales Executive,1,Single,19999,13269,1,Y,No,16,3,2,80,2,17,4,4,13,1,11,1
6471,Carol Clark,38,Yes,travel_frequently,1228,Research & Development,9,5,Technical Degree,1,2, Female,2006-02-23,82,3,3,Research Scientist,2,Single,5908,16418,2,Y,no,12,3,3,80,1,20,1,4,18,15,6,0
468,Joshua Garcia,46,No,Travel_Rarely,404,Research & Development,2,2,Technical Degree,1,3,Male,2022-01-16,44,3,4,Laboratory Technician,3, Married,"$19,266",21110,3,Y,No,15,3,4,80,1,24,2,3,2,2,1,1
7043,Melissa Williams,23,No,travel_rarely,1461,Human Resources,1,4,life sciences,1,4,Female,05/07/2023,67,3,1,Human Resources,1,Married,3831,7648,1,Y,No,17,3,4,80,0,1,2,2,1,0,0,1
2403,Patricia Lopez,42,No,Non-Travel,1402,Research & Development,9,1,Medical,1,4,Female,2004-12-31,85,1,3,Manager,2,Divorced,8962,16867,6,Y,unknown,23,3,2,80,2,24,2,3,20,4,20,15
7091,Barbara Robinson,35,No,Travel_Rarely,1207,SALES,8,2,Marketing,1,1,Female,02/13/2023,82,2,3,Sales Executive,3,MARRIED,N/A,24648,n/a,Y,Yes,15,4,1,80,0,14,3,2,1,1,0,1
7121,Jeffrey Flores,47,No,non-travel,$1077,research & development,2,3,Human Resources,1,4,Male,05-Apr-2002,32,1,5,Manufacturing Director,3,divorced,$19999.00,14497,3,Y,Yes,13,3,3,80,0,27,0,3,22,0,8,1
3103,Charles Lewis,36,No,Travel_Rarely,727,Research & Development,4,3,Medical,1,4,male,2009-06-04,97,1,5,Manufacturing Director,3,Divorced,19999,12529,5,Y,No,17,3,1,80,1,18,3,2,15,9,10,9
6863,Ryan Thompson,36,No,Travel Rarely,237,R&D,1,4,Technical Degree,1,3,Male,2021-12-04,36,2,4,Research Director,2,Divorced,13805,15234,0,Y,Yes,13,3,2,80,2,18,2,3,3,0,1,0
8880,Daniel White,39,No,Travel_Rarely,853,SALES,6,4,Marketing,1,4,male,2010-06-07,92,3,5,Sales Executive,2,Married,18819,24013,0,Y,Yes,22,3,2,80,0,21,1,3,14,11,6,4
6624,Thomas King,18,No,Travel_Rarely,995,Research & Development,14,4,Medical,1,1,Male,unknown,92,2,1,Research Scientist,3,Married,"$2,535",7853,1,Y,no,13,3,4,80,3,0,3,3,0,0,0,0
5365,Charles Williams,37,No,Travel_Rarely,NULL,Research & Development,3,4,Tech Degree,1,3,Male,12/18/2018,86,1,5,Manager,3,married,19999,19805,1,Y,No,16,4,2,80,1,15,1,3,6,4,5,1
5341,Jacob Wright,33,No,Travel_Rarely,774,RESEARCH & DEVELOPMENT,13,2,Technical Degree,1,4,male,04-Mar-2018,53,3,4,Laboratory Technician,3,Married,11770,12394,1,Y,No,14,3,4,80,1,14,2,2,6,6,5,0
6726,Jessica Sanchez,49,No,Travel_Rarely,816,Research & Development,17,1,Medical,1,3,Female,NULL,44,1,3,Laboratory Technician,3,Divorced,"$12,064",19472,4,Y,No,14,3,4,80,1,31,2,3,28,13,18,25
3141,Mark Hernandez,31,Yes,Travel_Frequently,611,Research and Development,13,3,TECHNICAL DEGREE,1,3,Male,2018-04-22,97,3,4,Research Scientist,4,Single,$14511.00,9375,2,Y,No,13,3,3,80,2,12,3,2,6,6,3,6
6826,Susan Williams,49,No,NON-TRAVEL,149,Sales,1,3,Human Resources,1,2,Female,"December 17, 2015",60,3,3,Sales Representative,2,Divorced ,"$7,196",22482,2,Y,No,24,3,4,80,1,31,2,3,9,0,2,7
7405,Charles Lewis,30,No,Travel_Rarely,1374,R&D,8,5,-,1,4,Male,2022-06-02,87,3,3,Laboratory Technician,3, Single,9834,26115,2,Y,No,11,3,4,80,0,11,6,3,2,2,1,2
1189,Mary Harris,47,unknown,Travel_Rarely,631,Sales,23,4,Marketing,1,3,female,,57,3,4,Sales Representative,3, Married,"$13,396",13899,4,Y,Y,18,3,2,80,0,29,1,4,12,11,4,0
654,Kevin Nguyen,31,Yes,Travel_Rarely,412,Human Resources,15,2,Marketing,1,2,M,04/02/2019,91,2,4,Manager,1,Married,"$11,623",21537,4,Y,No,12,3,3,80,0,12,3,2,5,5,5,5
8101,Edward Torres,46,Yes,Travel_Rarely,1422,Sales,8,3,Marketing,1,1,Male,26-Dec-2024,84,2,4,Sales Executive,1, Married,10408,23370,2,Y,Yes,13,3,3,80,1,25,6,2,0,0,0,0
8818,Mary Young,30,No,Travel_Rarely,1285,Human Resources,5,3,Marketing,1,3,F,30/01/2022,59,3,3,Human Resources,3,Married,"12,703",8091,3,Y,Yes,17,3,2,80,1,10,2,2,2,2,0,0
1948,Susan Torres,43,No,Travel_Rarely,798,Research & Development,6,2,Life Sciences,1,2,Female,2017-07-01,75,1,5,Research Director,3,Single,$18653.00,24484,3,Y,No,20,3,3,80,1,23,5,4,7,0,2,5
5881,Sandra Nguyen,34,No,Travel_Rarely,1188,research & development,3,4,Life Sciences,1,3,Female,18/08/2016,46,3,5,Manufacturing Director,1, Married,19999,23644,6,Y,1,22,3,4,80,3,14,2,3,8,7,0,4
6346,Joshua Rodriguez,47,Yes,Travel_Rarely,1281,Human Resources,12,4,Human Resources,1,4,Male,07/25/2006,80,2,4,Human Resources,2,Divorced,10927,3399,2,Y,No,22,3,3,80,1,28,5,3,18,12,4,4
285,ANDREW LOPEZ,25,No,Travel_Rarely,120,human resources,7,2,Human Resources,1,3,M,2023-12-06,68,3,2,Human Resources,3,Married,"4,859",26473,1,Y,Y,22,3,3,80,1,4,6,2,1,0,0,1
4794,Jacob Young,51,No,Travel_Frequently,855,RESEARCH & DEVELOPMENT,-23,2,Human Resources,1,2,Male,05/09/2022,38,1,4,Laboratory Technician,2,DIVORCED,14040,26010,3,Y,Yes,17,3,2,80,0,32,2,4,2,0,0,0
5081,Lisa King,44,No,Travel_Rarely,134,Research & Development,4,3,Medical,1,4,Female,23/12/2019,44,3,4,Research Scientist,4, Married,"$11,703",8547,5,Y,No,18,3,1,80,1,26,3,2,5,1,0,5
2933,Carol Rodriguez,40,No,Travel_Rarely,103,Sales,1,4,Medical,1,2,Female,08/19/2014,51,3,3,Sales Executive,4,Single,7472,10057,2,Y,No,20,4,4,80,1,20,2,3,10,10,5,10
8367,David Davis,24,No,Travel Rarely,753,Research & Development,5,3,Life Sciences,1,2,male,2021-12-01,78,3,2,Laboratory Technician,3,Married,"$5,966",8776,1,Y,N,14,3,2,80,0,5,5,3,3,3,2,2
6147,Carol Gonzalez,51,No,Travel_Frequently,1463,Human Resources,5,3,Life Sciences,1,2,Female,17-Sep-2010,96,4,3,Human Resources,3, Single,"7,833",3665,4,Y,No,18,3,3,80,1,32,2,2,14,9,9,4
2583,Carol Hill,35,No,Travel_Rarely,1239,Research & Development,5,4,Other,1,3,Female,28/08/2014,80,2,4,Research Scientist,4,Married,13951,22573,4,Y,No,22,3,3,80,0,15,1,4,10,9,7,3
7564,Paul Nguyen,39,No,Travel_Frequently,1000,Sales,3,4,Medical,1,3,Male,03/05/2021,77,2,4,Sales Representative,3,Married,13910,9860,2,Y,No,13,3,3,80,1,21,2,2,3,3,3,0
7725,Lisa Anderson,49,No,Travel_Rarely,1394,Research & Development,1,4,medical,1,3, Female,02-Dec-2019,70,4,4,Healthcare Representative,3,Single,"$11,911",19443,1,Y,No,21,3,4,80,1,28,2,3,5,5,4,3
1046,Brian Thompson,37,No,Travel_Rarely,938,R&D,2,3,Technical Degree,1,1,Male,2019-09-28,99,2,3,Healthcare Representative,4,,$5783.00,3307,4,Y,No,11,3,2,80,0,15,2,4,5,5,0,2
5831,Joshua Robinson,36,No,Travel_Rarely,$982,Human Resources,4,4,Life Sciences,1,4, Male,2018-04-01,90,4,5,Human Resources,4,Divorced,19999,6368,2,Y,Yes,19,4,2,80,1,14,2,3,6,4,5,0
2738,Jacob Jackson,32,No,Travel_Rarely,276,Sales,2,2,Marketing,1,2,Male,14-Jan-2022,44,2,3,Sales Executive,1,single,"$8,848",25995,6,Y,No,23,3,1,80,0,14,0,3,2,0,2,1
3386,Jeffrey Martin,49,No,Travel_Rarely,1238,Research & Development,7,3,Life Sciences,1,4,Male,07/07/2016,76,1,4,Research Scientist,2,single,9439,13126,3,Y,No,14,3,3,80,1,28,2,2,8,0,7,4
278,Michael Hernandez,36,No,Travel_Frequently,1232,Research & Development,1,3,Life Sciences,1,4,male,2013-10-07,57,2,5,Manufacturing Director,1,Married,18657,16846,1,Y,No,23,3,1,80,1,14,2,3,11,8,8,4
4552,Barbara Rodriguez,32,No,Travel_Rarely,1470,Research & Development,15,2,Technical Degree,1,4,FEMALE,24/08/2017,89,2,4,Laboratory Technician,3,Single,8946,9774,2,Y,Yes,21,4,3,80,1,12,0,4,7,2,3,4
6678,  Lisa Johnson  ,41,No,Travel_Rarely,897,Research & Development,1,3,Technical Degree,1,4, Female,06/07/2012,76,3,3,Research Scientist,2,Married,8980,3477,5,Y,No,11,3,1,80,0,19,2,4,12,5,5,6
3844,Jessica Williams,41.0,No,Travel_Rarely,1070,Sales,20,3,Marketing,1,4,F,"May 14, 2024",87,2,3,Sales Executive,2,Maried,"7,175",19111,3,Y,No,24,4,3,80,0,21,1,4,0,0,0,0
5526,Gary Allen,38,No,Travel_Frequently,496,Research & Development,1,2,Technical Degree,1,3, Male,2016-06-16,95,4,3,Laboratory Technician,3,Divorced ,"$9,061",21381,1,Y,No,13,3,4,80,0,16,2,3,8,4,7,6
7303,Robert Torres,48,No,Travel_Rarely,1150,R&D,4,2,Other,1,1,MALE,1996-11-05,94,3,3,Laboratory Technician,1,Married,$9874.00,20111,7,Y,NO,21,4,4,80,0,30,2,4,28,9,21,2
